09-16-2026 12:52:49 RAM 3026/15598MB (lfb 68x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@1984,94%@1984,1%@1984,2%@1984,4%@729,18%@729,3%@729,8%@729] GR3D_FREQ 0% cv0@48.406C/48.406C cpu@49.406C/49.406C soc2@48.531C/48.531C soc0@48.281C/48.281C cv1@47.937C/47.937C gpu@47.281C/47.281C tj@50.125C/50.125C soc1@50.125C/50.125C cv2@46.781C/46.781C VDD_IN 8020mW/8020mW/8020mW VDD_CPU_GPU_CV 2775mW/2775mW/2775mW VDD_SOC 1542mW/1542mW/1542mW
09-16-2026 12:52:50 RAM 5649/15598MB (lfb 62x4MB) SWAP 1/2048MB (cached 0MB) CPU [3%@1113,76%@1113,4%@1113,12%@1113,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 5% cv0@48.125C/48.406C cpu@49.5C/49.5C soc2@48.406C/48.531C soc0@48.281C/48.281C cv1@48.062C/48.062C gpu@47.5C/47.5C tj@50.218C/50.218C soc1@50.218C/50.218C cv2@46.812C/46.812C VDD_IN 8171mW/8096mW/8171mW VDD_CPU_GPU_CV 2619mW/2697mW/2775mW VDD_SOC 1695mW/1619mW/1695mW
09-16-2026 12:52:51 RAM 5653/15598MB (lfb 13x4MB) SWAP 1/2048MB (cached 0MB) CPU [11%@729,18%@729,11%@729,18%@729,1%@1267,19%@1267,2%@1267,5%@1267] GR3D_FREQ 3% cv0@48.156C/48.406C cpu@49.375C/49.5C soc2@48.406C/48.531C soc0@48.468C/48.468C cv1@47.968C/48.062C gpu@47.468C/47.5C tj@50.312C/50.312C soc1@50.312C/50.312C cv2@46.718C/46.812C VDD_IN 8017mW/8069mW/8171mW VDD_CPU_GPU_CV 2465mW/2620mW/2775mW VDD_SOC 1850mW/1696mW/1850mW
09-16-2026 12:52:52 RAM 5648/15598MB (lfb 12x4MB) SWAP 1/2048MB (cached 0MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@1984,96%@1984,0%@1984,4%@1984] GR3D_FREQ 0% cv0@48.218C/48.406C cpu@49.531C/49.531C soc2@48.5C/48.531C soc0@48.5C/48.5C cv1@48.343C/48.343C gpu@47.375C/47.5C tj@50.218C/50.312C soc1@50.218C/50.312C cv2@46.843C/46.843C VDD_IN 9246mW/8364mW/9246mW VDD_CPU_GPU_CV 2926mW/2696mW/2926mW VDD_SOC 2003mW/1773mW/2003mW
09-16-2026 12:52:53 RAM 9595/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,76%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@48.093C/48.406C cpu@49.906C/49.906C soc2@48.531C/48.531C soc0@48.5C/48.5C cv1@48.25C/48.343C gpu@48.312C/48.312C tj@50.281C/50.312C soc1@50.281C/50.312C cv2@46.906C/46.906C VDD_IN 10778mW/8846mW/10778mW VDD_CPU_GPU_CV 3694mW/2896mW/3694mW VDD_SOC 2463mW/1911mW/2463mW
09-16-2026 12:52:54 RAM 9592/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@48C/48.406C cpu@49.375C/49.906C soc2@48.312C/48.531C soc0@48.5C/48.5C cv1@47.937C/48.343C gpu@47.343C/48.312C tj@50.187C/50.312C soc1@50.187C/50.312C cv2@46.781C/46.906C VDD_IN 6637mW/8478mW/10778mW VDD_CPU_GPU_CV 1543mW/2670mW/3694mW VDD_SOC 1698mW/1875mW/2463mW
09-16-2026 12:52:55 RAM 9590/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.375C/49.906C soc2@48.375C/48.531C soc0@48.531C/48.531C cv1@48C/48.343C gpu@47.281C/48.312C tj@50.218C/50.312C soc1@50.218C/50.312C cv2@46.781C/46.906C VDD_IN 6177mW/8149mW/10778mW VDD_CPU_GPU_CV 1234mW/2465mW/3694mW VDD_SOC 1544mW/1828mW/2463mW
09-16-2026 12:52:56 RAM 9589/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.843C/48.406C cpu@49.5C/49.906C soc2@48.312C/48.531C soc0@48.468C/48.531C cv1@47.843C/48.343C gpu@47.218C/48.312C tj@50.343C/50.343C soc1@50.343C/50.343C cv2@46.656C/46.906C VDD_IN 6022mW/7883mW/10778mW VDD_CPU_GPU_CV 1234mW/2311mW/3694mW VDD_SOC 1544mW/1792mW/2463mW
09-16-2026 12:52:57 RAM 9589/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.812C/48.406C cpu@49.25C/49.906C soc2@48.281C/48.531C soc0@48.406C/48.531C cv1@47.843C/48.343C gpu@47.312C/48.312C tj@50.218C/50.343C soc1@50.218C/50.343C cv2@46.75C/46.906C VDD_IN 6177mW/7694mW/10778mW VDD_CPU_GPU_CV 1234mW/2192mW/3694mW VDD_SOC 1544mW/1765mW/2463mW
09-16-2026 12:52:58 RAM 9589/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.812C/48.406C cpu@49.156C/49.906C soc2@48.281C/48.531C soc0@48.593C/48.593C cv1@47.906C/48.343C gpu@47.281C/48.312C tj@50.281C/50.343C soc1@50.281C/50.343C cv2@46.781C/46.906C VDD_IN 6177mW/7542mW/10778mW VDD_CPU_GPU_CV 1234mW/2096mW/3694mW VDD_SOC 1544mW/1743mW/2463mW
09-16-2026 12:52:59 RAM 9589/15598MB (lfb 7x4MB) SWAP 1/2048MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@47.875C/48.406C cpu@49.156C/49.906C soc2@48.281C/48.531C soc0@48.5C/48.593C cv1@47.781C/48.343C gpu@47.218C/48.312C tj@50.281C/50.343C soc1@50.281C/50.343C cv2@46.687C/46.906C VDD_IN 6022mW/7404mW/10778mW VDD_CPU_GPU_CV 1234mW/2017mW/3694mW VDD_SOC 1544mW/1725mW/2463mW
